State Abbr,State Name,GDP,PCE,Population
AL,Alabama,281569,215105,4841799
AK,Alaska,65699,43413,736283
AZ,Arizona,475654,368867,6730413
AR,Arkansas,165989,128662,2967392
CA,California,3641643,2352362,38596972
CO,Colorado,491289,346723,5350101
CT,Connecticut,319345,219068,3594524
DE,Delaware,90208,55535,932487
DC,District of Columbia,165061,57595,662328
FL,Florida,1439065,1234951,19845911
GA,Georgia,767378,517335,10067278
HI,Hawaii,101083,78714,1414538
ID,Idaho,110871,84364,1631112
IL,Illinois,1025667,683721,12884493
IN,Indiana,470324,318274,6593644
IA,Iowa,238342,145481,3109350
KS,Kansas,209326,135312,2900475
KY,Kentucky,258981,199412,4414349
LA,Louisiana,291952,207377,4644013
ME,Maine,85801,77287,1330513
MD,Maryland,480113,324575,5957283
MA,Massachusetts,691461,448337,6762596
MI,Michigan,622563,496511,9929848
MN,Minnesota,448032,302148,5451079
MS,Mississippi,139976,116654,2990468
MO,Missouri,396890,300328,6056202
MT,Montana,67072,58291,1021869
NE,Nebraska,164934,97455,1879321
NV,Nevada,222939,161819,2817628
NH,New Hampshire,105025,84869,1333341
NJ,New Jersey,754948,556465,8864525
NM,New Mexico,125541,91584,2089568
NY,New York,2048403,1152505,19651049
NC,North Carolina,715968,511778,9932887
ND,North Dakota,72651,41013,737401
OH,Ohio,825990,561567,11602700
OK,Oklahoma,242739,169016,3878187
OR,Oregon,297309,221162,3963244
PA,Pennsylvania,911813,696634,12788313
RI,Rhode Island,72771,57771,1055936
SC,South Carolina,297546,244163,4823617
SD,South Dakota,68782,44579,849129
TN,Tennessee,485657,326338,6541223
TX,Texas,2402137,1473924,26964333
UT,Utah,256370,162917,2936879
VT,Vermont,40831,36069,625214
VA,Virginia,663106,452040,8310993
WA,Washington,738101,440420,7054655
WV,West Virginia,97417,78923,1849489
WI,Wisconsin,396209,290411,5751525
WY,Wyoming,49081,30466,582531